product_name,date,year,month_name,volume_mn,avg_daily_vol_mn
NETC,2024-04-01,2024,Apr,328.1,10.94
NETC,2024-05-01,2024,May,347.36,11.21
NETC,2024-06-01,2024,Jun,334.41,11.15
NETC,2024-07-01,2024,Jul,322.74,10.41
NETC,2024-08-01,2024,Aug,328.99,10.61
NETC,2024-09-01,2024,Sep,318.4,10.61
NETC,2024-10-01,2024,Oct,344.96,11.13
NETC,2024-11-01,2024,Nov,358.85,11.96
NETC,2024-12-01,2024,Dec,381.98,12.32
NFS,2024-01-01,2024,Jan,313.73,10.12
NFS,2024-02-01,2024,Feb,304.52,10.5
NFS,2024-03-01,2024,Mar,328.77,10.61
NFS,2024-04-01,2024,Apr,312.76,10.43
NFS,2024-05-01,2024,May,307.71,9.93
NFS,2024-06-01,2024,Jun,302.55,10.09
NFS,2024-07-01,2024,Jul,298.74,9.64
NFS,2024-08-01,2024,Aug,304.34,9.82
NFS,2024-09-01,2024,Sep,292.89,9.76
NFS,2024-10-01,2024,Oct,329.11,10.62
NFS,2024-11-01,2024,Nov,280.81,9.36
NFS,2024-12-01,2024,Dec,291.67,9.41
